section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,1206,0.5799349849288244,0.7596029893511441,0.5519782127563204,0.08501932123781727,global-minmax,
cluster,1,741,0.5873369763205829,0.7644898741201865,0.5883452650651866,0.07799538828569712,zscore,
cluster,2,79,0.7506459948320413,0.6589033865379806,0.8289459412135823,0.1654335767019044,zscore,
cluster,3,44,0.9694989106753813,0.8887347749472921,0.9651336898395723,0.20832654299636486,zscore,
cluster,5,2,0.0,0.9719454102402797,0.5,0.2201015405693401,zscore,
cluster,6,245,0.5514883346741754,0.7722373975324767,0.5186068747928033,0.16762183462163052,zscore,
cluster,7,4,1.0,0.9985160143155302,1.0,0.8556375325298703,zscore,
cluster,8,52,0.5362962962962964,0.45615437243695517,0.5454762931756371,0.02344815453428733,zscore,
cluster,10,33,0.7355371900826446,0.7355794902980112,0.8716894147666727,0.12527354838013868,zscore,
cluster,11,6,0.8,0.638201485348363,0.9666666666666666,0.03680347373324153,zscore,
cluster-macro,avg,,0.6589781892090136,0.7649735784196751,0.7538737939466801,0.20896017692805277,zscore,
category,0,100,0.5856,0.7290745292766365,0.5855885432258137,0.05941161779712038,zscore,
category,1,100,0.46,0.5927277634563216,0.5175548660066058,0.020495785173485444,zscore,
category,2,100,0.5752,0.651948974626523,0.5276770349527561,0.03880460577535573,zscore,
category,3,106,0.8208689458689458,0.7977950372959082,0.8162440814345588,0.11734443938105454,zscore,
category,4,100,0.7084,0.9141585250107005,0.7592173803167781,0.3599983459960726,zscore,
category,5,100,0.7952,0.8045892011243757,0.7733570746532364,0.23235947610560906,zscore,
category,6,100,0.8088,0.8053755134419865,0.8403912659826762,0.2595051624883832,zscore,
category,7,100,0.5512,0.659710044571833,0.5492568565052338,0.012122574523398783,zscore,
category,8,100,0.6396000000000001,0.603726484297739,0.6839311305120503,0.039468498385442065,zscore,
category,9,100,0.5753205128205129,0.7937380339000649,0.5966935393728438,0.13772433956915955,zscore,
category,10,100,0.5104,0.6782601421500539,0.5691166443241721,0.10017871838779052,zscore,
category,11,100,0.6287999999999999,0.7677976273101921,0.7177723679162026,0.30057079122167496,zscore,
category-macro,avg,,0.6382824548907882,0.7332418230385279,0.6614000654335773,0.13983202956704555,zscore,
