section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,1206,0.5727541748256364,0.7637248292354731,0.5494030232113962,0.07285115301862152,global-minmax,
cluster,0,4,1.0,0.7994029646605967,1.0,0.05762064719271063,zscore,
cluster,1,716,0.5903529852376643,0.7717370585214708,0.5876007571940111,0.0760237953510424,zscore,
cluster,2,78,0.6805555555555555,0.6492498252687644,0.7708119973792893,0.08246145277296368,zscore,
cluster,3,48,0.9070208728652752,0.9022592168563544,0.8838346113432618,0.37911766899690696,zscore,
cluster,5,1,nan,0.9937761158085289,nan,0.7382002919271948,zscore,
cluster,6,133,0.60290776919582,0.8323301040800848,0.488309431501228,0.15431410984171154,zscore,
cluster,8,8,0.625,0.8062758512047754,0.7678571428571428,0.023230875757246732,zscore,
cluster,10,218,0.5621196754563894,0.6484505151937018,0.6184240253977847,0.054312907695999134,zscore,
cluster-macro,avg,,0.709708122615815,0.7728150765408212,0.7309768522389596,0.11815449394408302,zscore,
category,0,100,0.5660000000000001,0.7102529739729073,0.5108736795480164,0.06537197891075218,zscore,
category,1,100,0.5239999999999999,0.6556613941676483,0.531895728384684,0.04836463124693206,zscore,
category,2,100,0.5424,0.6727926072480774,0.5200372849822917,0.07152615878340539,zscore,
category,3,106,0.7631766381766382,0.8044799825001819,0.7887703480739103,0.10959647312101498,zscore,
category,4,100,0.8416,0.9143372231590468,0.856893320509202,0.3943975755402665,zscore,
category,5,100,0.8448,0.761642340172753,0.7901116666972392,0.13286845437169634,zscore,
category,6,100,0.8244,0.8285598019402779,0.8495789970388936,0.1802435161067057,zscore,
category,7,100,0.5804,0.6751219807434095,0.5477176098789055,0.01380015460912249,zscore,
category,8,100,0.5356000000000001,0.6298910192565956,0.6244646746208633,0.036735167038567065,zscore,
category,9,100,0.6113782051282051,0.7611433446134418,0.6269816930319962,0.14410422283613974,zscore,
category,10,100,0.6072,0.6512723712153605,0.5744018665687974,0.07482901161286742,zscore,
category,11,100,0.6304,0.7937050110195261,0.6709018424703509,0.22139838048564014,zscore,
category-macro,avg,,0.6559462369420702,0.7382383375007687,0.6577190593170958,0.12443631038859249,zscore,
