section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,1312,0.7112663857677902,0.8864563889514006,0.7670189069896013,0.28369665310570025,global-minmax,0.013363019042264383
cluster,0,29,0.9666666666666668,0.8162494561300047,0.9643525242264737,0.2299479234509059,mad,0.046010740789189916
cluster,1,29,0.8714285714285714,0.9740029464660961,0.8977608830093302,0.5534910920389593,mad,0.010704093392460432
cluster,2,29,0.7952380952380953,0.9390598317543081,0.8229462204462203,0.5123265653746112,mad,0.014815612270057961
cluster,3,34,0.8350877192982455,0.914558568070423,0.8711600889575717,0.3345013575347382,mad,0.014521165709423528
cluster,4,34,0.8070175438596492,0.9481220171294766,0.8887313758553157,0.5920057394140944,mad,0.011787190135153681
cluster,5,33,0.8,0.903432194478794,0.8286203671219816,0.31419944900456254,mad,0.02423848973354322
cluster,6,33,0.825925925925926,0.8696870138690371,0.8877115854374863,0.37672797583854595,mad,0.005271984102622098
cluster,7,33,0.8407407407407407,0.9624079098711213,0.901357447717601,0.6596566436125918,mad,0.008974164336403195
cluster,8,33,0.5703703703703703,0.8982232250012321,0.6738694444986524,0.2962361257375406,mad,0.005240470989672867
cluster,9,33,0.8666666666666668,0.9583792503147676,0.9275739686555626,0.6217977706445856,mad,0.00855047866649474
cluster,10,34,0.6947368421052631,0.9297489755731297,0.7797385723564643,0.45472465809591156,mad,0.009433797249156032
cluster,11,36,0.6666666666666666,0.8658412871104274,0.7316849767282114,0.16960839620262275,mad,0.020688317362743326
cluster,12,36,0.6698412698412699,0.9172408039773249,0.7656337469014869,0.31846235067108697,mad,0.019210211079056863
cluster,13,33,0.8111111111111111,0.8974605873469905,0.8580091730077365,0.32242383913258543,mad,0.033391012757542214
cluster,14,34,0.887719298245614,0.958258503714567,0.9243566118535564,0.5092788859775597,mad,0.007278073872840466
cluster,15,34,0.7298245614035088,0.9579363846933694,0.8225786234492329,0.4941969574727301,mad,0.006202825905609405
cluster,16,34,0.7719298245614035,0.9299479174380952,0.8673666125163402,0.48403048456252473,mad,0.006009231763241555
cluster,17,29,0.7380952380952381,0.8839410849245519,0.7898727738789849,0.19678054085127858,mad,0.017954371901984085
cluster,18,29,0.6904761904761905,0.7849955607837549,0.7539376306077986,0.21412341916720193,mad,0.013043478260869565
cluster,19,29,0.8285714285714285,0.8976177678648118,0.8574447583837426,0.41028667516674217,mad,0.019883554229205066
cluster,20,30,0.8933333333333333,0.8100496825120422,0.9092623733335807,0.23503059678929294,mad,0.026678947665222844
cluster,21,29,0.6952380952380952,0.8304584568112447,0.6559599131027701,0.0890408693350352,mad,0.017619525089318553
cluster,22,38,0.6434782608695653,0.8441541823847003,0.750498516331306,0.18648059733503566,mad,0.018303688332345892
cluster,23,31,0.6,0.8673676134019159,0.6766412402172395,0.07089419907116291,mad,0.013863320064860423
cluster,24,38,0.6956521739130435,0.9237841629910116,0.8335940543414562,0.44318657600272504,mad,0.006283323551171683
cluster,25,37,0.6242424242424243,0.7941185039961945,0.7127394237014278,0.08044107283923525,mad,0.013238354945957482
cluster,26,6,0.625,0.8974487848973051,0.8541666666666666,0.31710110386147783,mad,0.010814206654453727
cluster,27,29,0.6523809523809523,0.7927896382602714,0.6404778298959405,0.11550377570893262,mad,0.02854937215865515
cluster,28,38,0.5652173913043479,0.705922576663229,0.6928085081680011,0.10373897958153425,mad,0.012865659767725057
cluster,29,37,0.6333333333333334,0.8013086388167963,0.7842276562824597,0.22694617028247543,mad,0.02117766478837928
cluster,30,33,0.6703703703703703,0.674675849699854,0.7266657811699951,0.14344081622144758,mad,0.011333617618333632
cluster,31,31,0.9583333333333334,0.9576210116722901,0.9630625808015514,0.5802037151906764,mad,0.022078747278631
