section,id,N,objAUC,ptAUC,objAP,ptAP,norm,pos_rate
global,all,1312,0.8082303370786517,0.9415580542070278,0.858180162891785,0.4695929126016295,global-minmax,0.013363019042264383
cluster,0,29,0.9761904761904763,0.9215959589155147,0.9790249433106575,0.5137113009451932,mad,0.046010740789189916
cluster,1,29,0.8952380952380953,0.9702288676604892,0.912853616971264,0.6097282028683426,mad,0.010704093392460432
cluster,2,29,0.9476190476190477,0.9855152463344968,0.9493798684975154,0.7416137692940068,mad,0.014815612270057961
cluster,3,34,0.9368421052631579,0.959257549257725,0.9444290828122504,0.5085418625641722,mad,0.014521165709423528
cluster,4,36,0.8253968253968254,0.9333671505048343,0.9011678730476687,0.6239550539920573,mad,0.01094465187956666
cluster,5,33,0.7814814814814814,0.9637046426361533,0.8339159657215214,0.44683297387135423,mad,0.02423848973354322
cluster,6,33,0.8333333333333333,0.9468671585210489,0.8962066038536627,0.5958783719104748,mad,0.005271984102622098
cluster,7,33,0.9222222222222223,0.9837458463205814,0.9490552203787498,0.7992018242839602,mad,0.008974164336403195
cluster,8,33,0.8444444444444444,0.9522042368917029,0.9026246811104383,0.5327985691530438,mad,0.005240470989672867
cluster,9,33,0.9518518518518518,0.9775571412833136,0.9694606887589344,0.7901677138588026,mad,0.00855047866649474
cluster,10,34,0.8175438596491228,0.9655162054787969,0.884203479909851,0.6160005603197296,mad,0.009433797249156032
cluster,11,34,0.8701754385964913,0.9305793763559443,0.9159735155098365,0.5273394397638288,mad,0.02290423795587573
cluster,12,36,0.8126984126984127,0.9696152562062759,0.8898572826876323,0.6810462529802275,mad,0.019210211079056863
cluster,13,33,0.9111111111111111,0.9603370564054633,0.9473384464247038,0.5331324591449493,mad,0.033391012757542214
cluster,14,34,0.9087719298245613,0.9693086766817864,0.9347994480127444,0.6607962407964243,mad,0.007278073872840466
cluster,15,34,0.863157894736842,0.9604841645315565,0.9163657020309686,0.5607214945482099,mad,0.006202825905609405
cluster,16,34,0.7894736842105263,0.9698988135878163,0.8801692685637035,0.5979701709907151,mad,0.006009231763241555
cluster,17,29,0.9047619047619049,0.9455298284475653,0.9201797944058006,0.39330075512975066,mad,0.017954371901984085
cluster,18,30,0.8177777777777777,0.9091472389885693,0.8829517396184061,0.42010979753250755,mad,0.01252862932382666
cluster,19,29,0.9857142857142858,0.9749292260764113,0.9859693877551019,0.7307896383095132,mad,0.019883554229205066
cluster,20,30,0.9688888888888889,0.880732403168935,0.9698064353946707,0.44315869567725563,mad,0.026678947665222844
cluster,21,29,0.8,0.9200002696513799,0.8307343924191749,0.20288829945148817,mad,0.017619525089318553
cluster,22,38,0.7884057971014493,0.9193751295841633,0.8693225783736793,0.47106712944932927,mad,0.018303688332345892
cluster,23,29,0.9380952380952381,0.9309656469514471,0.9385813434685615,0.25481906431324874,mad,0.014613229161424613
cluster,24,38,0.8260869565217391,0.9455957494891514,0.909643652146849,0.6450509129938853,mad,0.006283323551171683
cluster,25,37,0.6303030303030304,0.8484706320884656,0.7473852777657124,0.2274481535018088,mad,0.013238354945957482
cluster,26,30,0.9547511312217194,0.9748959656370302,0.9597069597069594,0.655091863488384,mad,0.008855993181069879
cluster,27,29,0.7476190476190476,0.885076394238539,0.7106110303315272,0.21447612587620218,mad,0.02854937215865515
cluster,28,38,0.6000000000000001,0.8261276902077516,0.7569654026351079,0.30249756173331077,mad,0.012865659767725057
cluster,29,37,0.6,0.8459087891400349,0.7895738231984164,0.4524415247117457,mad,0.02117766478837928
cluster,30,33,0.6,0.790918028224084,0.7213938678992579,0.2206596085809877,mad,0.011333617618333632
cluster,31,31,0.9958333333333333,0.9841217582151875,0.9963235294117647,0.6978420095848011,mad,0.022078747278631
cluster,32,29,0.9238095238095239,0.8961957140957765,0.9212353939244695,0.32584297589844435,mad,0.008024610636239566
